customer_id,address_id,status_id
1,55,1
1,235,1
2,650,1
3,553,1
4,397,1
4,481,2
4,981,1
5,152,1
6,788,1
7,320,1
8,43,1
9,788,1
10,541,1
10,862,1
10,943,2
11,491,1
12,531,1
12,966,1
13,485,1
13,582,1
14,779,1
15,414,1
16,620,1
16,958,2
17,241,1
17,371,1
17,897,2
18,629,1
18,782,1
18,884,1
19,158,1
20,384,2
20,943,1
21,828,1
22,780,2
22,998,1
23,920,1
24,327,1
24,516,1
25,160,1
25,192,1
26,370,1
27,814,1
27,892,1
28,985,1
29,360,2
29,450,1
29,616,1
30,85,1
31,396,1
31,930,2
32,992,1
33,29,1
33,373,1
34,468,1
35,863,1
36,59,1
36,297,1
37,605,1
38,574,1
39,203,1
40,53,1
40,667,1
41,249,1
41,748,1
42,808,1
43,231,2
43,611,1
44,222,1
44,439,1
45,832,1
46,514,2
46,643,1
46,734,1
47,357,1
48,592,1
49,96,2
49,463,1
49,767,1
50,841,1
50,923,1
51,720,1
52,452,1
53,129,1
53,375,1
54,806,2
54,809,1
55,671,2
55,969,1
56,470,1
56,559,1
57,865,1
57,928,1
58,567,1
59,78,2
59,621,1
59,671,1
60,173,1
61,243,1
61,682,1
62,199,1
62,266,1
62,654,1
63,64,2
63,80,1
63,436,1
64,380,2
64,514,1
64,804,1
64,874,2
65,415,1
66,126,1
66,719,1
66,836,1
67,49,1
67,875,1
68,51,1
68,83,1
69,427,1
70,991,1
71,113,1
71,553,1
72,914,1
73,49,1
73,767,1
74,419,1
75,22,1
76,961,1
77,566,1
77,724,1
77,815,2
78,768,1
79,471,1
79,584,1
80,163,1
80,416,1
80,560,1
80,622,1
80,681,2
80,747,1
81,103,1
82,751,1
82,758,1
83,826,1
84,107,1
85,750,1
86,264,1
87,616,1
88,51,1
89,35,1
89,440,1
90,63,1
90,700,1
91,999,1
92,755,1
92,996,1
93,308,1
93,321,1
94,598,2
94,752,1
94,935,1
95,166,1
95,277,1
96,999,1
97,312,1
98,641,1
99,18,1
99,917,1
100,968,1
101,500,1
101,835,1
102,900,1
103,341,2
103,629,1
103,906,1
104,598,1
104,719,1
105,667,1
106,215,1
106,598,1
107,345,1
107,896,1
108,252,1
108,322,1
108,972,2
109,46,1
109,140,1
109,600,1
110,370,1
110,440,1
110,548,1
110,791,2
111,381,1
111,955,2
112,626,1
112,964,1
113,317,1
113,609,1
114,150,1
114,521,1
114,815,1
115,96,1
115,232,1
115,920,2
116,123,1
116,133,1
117,466,1
117,763,1
118,30,1
119,408,1
119,464,1
119,795,1
120,516,1
121,996,1
122,53,1
122,105,1
123,641,1
124,327,1
125,110,1
126,117,1
126,124,1
126,319,2
126,397,1
127,135,1
127,272,1
127,884,2
128,410,1
129,126,2
129,691,1
130,83,2
130,579,1
131,156,1
131,810,1
132,819,1
133,45,1
134,61,1
134,722,1
135,65,1
135,148,1
136,363,2
136,698,1
137,474,1
137,994,1
138,195,1
139,395,2
139,599,1
139,698,1
140,70,1
140,777,1
141,213,1
141,916,1
142,112,2
142,384,1
143,83,1
144,551,1
145,39,1
145,568,2
145,771,1
146,90,1
147,939,2
147,976,1
147,977,1
148,231,1
148,267,1
148,812,2
149,758,1
150,363,1
150,704,1
151,486,1
152,889,1
153,762,1
154,819,1
154,912,1
155,9,1
156,223,1
157,23,1
157,498,1
158,94,2
158,433,1
159,529,1
159,994,1
160,666,2
160,959,1
161,262,2
161,672,1
161,872,1
162,396,1
162,931,2
163,532,2
163,960,1
164,627,1
165,636,1
166,243,2
166,711,1
167,651,1
167,658,1
